journey_distance,am_or_pm,day_of_week,pickup_hour,passenger_count,fare_amount
2.12631158567872,AM,Mon,4,1,6.5
1.3923068653138118,AM,Sat,11,1,6.9
3.326763440651645,AM,Sat,7,2,10.1
1.8641292506005456,PM,Sun,17,1,8.9
7.231321036138512,PM,Fri,22,1,19.7
1.9585735842883154,AM,Thurs,4,1,8.1
1.0423035943758576,PM,Fri,15,1,4.9
1.089064245943156,AM,Thurs,5,1,4.9
0.14774026743055252,AM,Tue,4,1,2.9
1.1067309031953096,PM,Fri,14,1,6.1
2.2866200839160338,PM,Thurs,18,1,7.3
0.6588800408677248,PM,Thurs,13,1,3.7
6.155152492979174,AM,Fri,8,1,17.3
0.704939000374426,PM,Sat,22,1,4.1
1.711401591428406,AM,Wed,6,2,6.9
4.398789693666771,PM,Tue,19,1,9.3
4.762430509956897,PM,Thurs,17,2,14.1
0.8845738504027233,AM,Thurs,4,1,5.7
0.47176854927331563,PM,Wed,19,1,2.9
0.9676058835423921,PM,Tue,21,5,3.7
9.43490780022648,AM,Tue,7,1,36.0
5.3050462631035105,AM,Mon,5,1,11.3
0.8581843675971402,AM,Tue,9,1,4.9
6.224502715694171,PM,Tue,12,2,14.5
1.1066937745239804,AM,Wed,10,1,4.9
1.596587117723534,AM,Sat,5,1,4.5
2.353298603283233,PM,Sun,17,1,7.3
19.903708694649232,PM,Thurs,19,1,36.19
1.942799103109288,PM,Fri,15,2,8.5
0.4693700087429127,PM,Tue,18,2,3.7
5.456683199487443,PM,Sat,13,1,25.47
1.1430198256054889,AM,Fri,6,1,4.1
3.2610518908066277,PM,Sat,21,4,10.9
2.4112609034383037,PM,Thurs,13,1,7.3
0.45516049541546794,PM,Mon,15,1,5.6
1.6707350492715711,PM,Wed,19,1,5.7
2.435028162420737,AM,Mon,11,2,9.7
1.925423024085943,PM,Sat,20,1,7.3
1.8958418710672005,PM,Tue,12,1,7.7
3.6620386583792017,PM,Fri,13,5,12.9
0.7675212093672489,AM,Thurs,6,1,4.9
4.03636244806071,AM,Thurs,8,1,15.3
4.536715013227007,PM,Tue,13,1,12.9
1.8070591983503947,PM,Tue,14,1,6.5
0.5641820532135566,AM,Sun,11,2,6.5
1.6790372312393258,PM,Wed,15,1,6.5
5.759132514098322,PM,Mon,15,1,6.5
1.4680552187807088,AM,Tue,8,2,6.9
2.9142490708291766,PM,Thurs,14,1,6.9
1.1782113617114016,PM,Sun,16,1,10.9
1.5348363266741039,AM,Sun,8,1,5.3
1.038655041947968,AM,Sat,8,1,7.3
6.832312026924118,PM,Sat,15,2,16.1
1.7079537026290577,AM,Sat,10,1,7.7
0.6791187880971333,AM,Fri,11,1,4.9
1.0217952116071631,PM,Fri,16,1,4.1
2.616971843012422,PM,Tue,12,1,6.9
3.2850145667504345,PM,Tue,16,1,9.7
3.5800641874735337,AM,Tue,5,2,13.3
0.5331296051779318,AM,Thurs,10,1,3.7
1.6357666097596426,PM,Sat,14,1,6.1
1.5118474594769111,PM,Fri,16,2,6.5
0.6060257616866086,AM,Wed,9,1,4.5
1.2904800796179525,PM,Wed,16,1,4.5
13.456856732911838,PM,Thurs,13,1,33.3
4.853594251515958,PM,Tue,23,2,11.7
0.9415018018956649,PM,Thurs,18,1,3.7
1.6014146363343789,AM,Mon,8,1,8.5
3.0036416309834975,PM,Sun,15,2,9.3
5.67719967619373,PM,Mon,16,1,12.5
5.1547160971415105,AM,Thurs,9,1,13.7
4.23363407955663,AM,Thurs,9,1,11.3
1.7854575554261705,AM,Fri,8,1,6.1
1.8260940707861977,PM,Wed,20,2,6.9
3.9684373842676925,PM,Fri,13,1,11.7
3.7629048697681404,PM,Fri,18,1,14.5
2.7540718968971447,PM,Sun,14,3,10.5
1.563786436867015,PM,Tue,12,1,6.1
1.7848000263957162,AM,Wed,4,1,6.9
2.6984568774203432,PM,Thurs,12,1,8.9
1.4836360641095456,PM,Fri,18,1,6.5
6.833019250450994,PM,Thurs,22,1,13.3
6.98161084564108,PM,Fri,13,1,25.47
1.4685911598014663,AM,Mon,3,1,6.1
0.8111097847962089,AM,Thurs,0,1,4.5
2.248223616138529,AM,Mon,3,1,5.3
2.20626563141564,PM,Sat,17,1,5.3
3.5478332161590536,PM,Fri,18,2,6.9
2.4810425822056557,PM,Fri,16,1,7.3
3.251215658460174,AM,Wed,9,1,7.3
0.8497259508035705,AM,Sat,5,1,4.1
9.873828411038732,AM,Mon,2,1,16.1
0.9733595541626099,AM,Thurs,5,1,4.5
1.062464693078965,AM,Fri,8,1,4.9
1.2631006319263698,AM,Mon,4,1,7.7
2.3576096260556914,PM,Tue,15,1,6.5
1.6797496229650482,PM,Mon,16,1,5.3
2.2186586615580723,PM,Sat,19,2,7.3
1.2887966160328899,PM,Sun,14,2,6.5
1.735244748126173,PM,Sun,13,3,6.1
1.855554395667851,AM,Tue,1,1,6.1
0.9558447798220746,AM,Sun,3,1,4.1
11.257263774137753,PM,Fri,18,4,28.1
1.5756273025684944,PM,Sat,14,1,6.1
6.250187091992022,AM,Sat,3,1,16.5
1.4070559912099463,AM,Tue,7,1,7.3
6.546005734529907,PM,Sun,18,2,15.3
0.7857472552736482,AM,Mon,9,1,4.5
1.902868351881724,AM,Mon,7,1,7.3
1.6573663990106726,PM,Tue,19,1,4.9
1.8692290188612917,AM,Tue,8,1,7.3
1.6741831017997748,PM,Sun,14,1,5.3
